,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,CODE,TYPE
122,Mauritania,123,4.291999817,0.648457289,1.27203083,0.28534928,0.09609804300000001,0.20187002399999998,0.136957005,1.651637316,MRT,least
123,Congo (Brazzaville),124,4.290999889,0.808964252,0.832044363,0.28995743399999996,0.435025871,0.120852128,0.07961813400000001,1.7241356369999998,COG,least
124,Georgia,125,4.285999775,0.9506126640000001,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635,1.500137806,GEO,developed
125,Congo (Kinshasa),126,4.28000021,0.092102349,1.229023457,0.191407025,0.23596134800000002,0.246455833,0.060241355999999996,2.2249586580000003,COD,least
126,Mali,127,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.10497024699999999,1.668190956,SOM,least
127,Ivory Coast,128,4.179999828,0.603048921,0.90478003,0.04864217,0.447706193,0.20123747,0.130061775,1.8449642659999999,,developing
128,Cambodia,129,4.168000221000001,0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,0.068105951,1.042941093,KHM,developing
129,Sudan,130,4.138999939,0.6595166920000001,1.21400857,0.29092082399999997,0.014995855,0.18231745100000002,0.08984752,1.68706584,SDN,least
130,Ghana,131,4.1199998860000004,0.6672248239999999,0.873664737,0.295637727,0.42302629399999997,0.25692394399999996,0.02533637,1.5778675080000002,GHA,developing
131,Ukraine,132,4.096000195,0.8946519490000001,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471,0.814382315,UKR,developing
132,Uganda,133,4.0809998510000005,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.057069719000000005,1.526362658,UGA,least
133,Burkina Faso,134,4.032000065,0.35022771399999997,1.043280005,0.21584425899999998,0.32436785100000004,0.250864685,0.12032810599999999,1.7272129059999999,BFA,least
134,Niger,135,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.22867384600000001,0.138572946,1.8739833830000001,NER,least
135,Malawi,136,3.970000029,0.23344203800000002,0.5125688310000001,0.315089583,0.466914654,0.28717047,0.072711654,2.0817861559999997,MWI,least
136,Chad,137,3.9360001089999996,0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,0.053581882000000004,2.071238041,TCD,least
137,Zimbabwe,138,3.875,0.375846535,1.083095908,0.19676375399999999,0.33638420700000005,0.189143494,0.095375381,1.597970247,ZWE,developing
138,Lesotho,139,3.808000088,0.5210212470000001,1.190095186,0.0,0.39066129899999996,0.157497272,0.11909464,1.42983532,LSO,least
139,Angola,140,3.7950000760000004,0.85842818,1.10441196,0.049868666,0.0,0.09792649,0.069720335,1.614482403,AGO,least
140,Afghanistan,141,3.79399991,0.40147721799999997,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,2.150801182,AFG,developing
141,Botswana,142,3.766000032,1.122094154,1.221554995,0.34175550899999996,0.505196333,0.099348448,0.09858319900000001,0.377913713,BWA,developing
142,Benin,143,3.657000065,0.43108540799999995,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,1.885630965,BEN,least
143,Madagascar,144,3.644000053,0.305808693,0.9130203720000001,0.375223309,0.189196765,0.20873253,0.067231975,1.584612608,MDG,least
144,Haiti,145,3.6029999260000003,0.368610263,0.640449822,0.27732113,0.030369857000000004,0.489203781,0.09987215,1.697167635,HTI,least
145,Yemen,146,3.592999935,0.5916834470000001,0.9353822470000001,0.31008091600000004,0.249463722,0.10412520900000001,0.056767423,1.345600605,YEM,least
146,South Sudan,147,3.59100008,0.397248626,0.601323128,0.163486004,0.147062436,0.28567081699999997,0.116793513,1.879567385,SSD,least
147,Liberia,148,3.5329999919999997,0.119041793,0.8721179370000001,0.229918197,0.332881182,0.266549885,0.038948249,1.673285961,LBR,least
148,Guinea,149,3.5069999689999998,0.24454993,0.791244686,0.19412913899999998,0.34858751299999996,0.264815092,0.110937618,1.5523118969999998,GNQ,least
149,Togo,150,3.4949998860000004,0.305444717,0.43188253,0.247105569,0.380426139,0.19689615100000002,0.095665015,1.837229252,TGO,least
150,Rwanda,151,3.4709999560000004,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,0.540061235,RWA,least
151,Syria,152,3.461999893,0.7771531340000001,0.39610260700000005,0.500533342,0.081539445,0.49366372799999997,0.151347131,1.061573505,SYR,developing
152,Tanzania,153,3.348999977,0.511135876,1.0419898029999999,0.364509284,0.390017778,0.35425636200000005,0.066035107,0.621130466,TZA,least
153,Burundi,154,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.204435185,0.084147945,1.6830241680000002,BDI,least
154,Central African Republic,155,2.6930000780000003,0.0,0.0,0.018772686,0.270842046,0.280876487,0.056565076,2.066004753,CAF,least
