,Happiness Rank,Country,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,CODE,TYPE
44,45,Kuwait,6.082999999999999,1.474,1.301,0.675,0.5539999999999999,0.16699999999999998,0.106,1.912,KWT,developing
45,46,Thailand,6.072,1.016,1.4169999999999998,0.7070000000000001,0.637,0.364,0.028999999999999998,1.931,THA,developing
46,47,Italy,6.0,1.264,1.501,0.946,0.281,0.13699999999999998,0.027999999999999997,1.871,ITA,developed
47,48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2.3480000000000003,ECU,developing
48,49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.08900000000000001,2.798,BLZ,developing
49,50,Lithuania,5.952000000000001,1.197,1.527,0.716,0.35,0.026000000000000002,0.006,2.136,LTU,developed
50,51,Slovenia,5.9479999999999995,1.219,1.506,0.856,0.633,0.16,0.051,1.574,SVN,developed
51,52,Romania,5.945,1.1159999999999999,1.219,0.726,0.528,0.08800000000000001,0.001,2.2680000000000002,ROU,developed
52,53,Latvia,5.933,1.148,1.454,0.6709999999999999,0.363,0.092,0.066,2.205,LVA,developed
53,54,Japan,5.915,1.294,1.462,0.988,0.5529999999999999,0.079,0.15,1.5390000000000001,JPN,developed
54,55,Mauritius,5.891,1.09,1.3869999999999998,0.684,0.584,0.245,0.05,1.901,MUS,developing
55,56,Jamaica,5.89,0.8190000000000001,1.493,0.693,0.575,0.096,0.031,2.214,JAM,developing
56,57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2.031,KOR,developed
57,58,North Cyprus,5.835,1.229,1.2109999999999999,0.909,0.495,0.179,0.154,1.8119999999999998,CYP,developing
58,59,Russia,5.81,1.151,1.479,0.599,0.39899999999999997,0.065,0.025,2.117,RUS,developing
59,60,Kazakhstan,5.79,1.143,1.516,0.631,0.45399999999999996,0.14800000000000002,0.121,1.8980000000000001,KAZ,developing
60,61,Cyprus,5.7620000000000005,1.229,1.1909999999999998,0.909,0.423,0.20199999999999999,0.035,1.808,CYP,developed
61,62,Bolivia,5.752000000000001,0.7509999999999999,1.2229999999999999,0.508,0.606,0.141,0.054000000000000006,2.523,BOL,developing
62,63,Estonia,5.739,1.2,1.5319999999999998,0.737,0.5529999999999999,0.086,0.174,1.631,EST,developed
63,64,Paraguay,5.681,0.835,1.5219999999999998,0.615,0.541,0.162,0.07400000000000001,2.006,PRY,developing
64,65,Peru,5.662999999999999,0.934,1.249,0.674,0.53,0.092,0.034,2.184,PER,developing
65,66,Kosovo,5.662000000000001,0.855,1.23,0.578,0.44799999999999995,0.27399999999999997,0.023,2.2769999999999997,KSV,developing
66,67,Moldova,5.64,0.657,1.301,0.62,0.23199999999999998,0.171,0.0,2.659,MDA,developing
67,68,Turkmenistan,5.636,1.016,1.5330000000000001,0.517,0.41700000000000004,0.19899999999999998,0.037000000000000005,1.954,TKM,developing
68,69,Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022000000000000002,1.996,HUN,developing
69,70,Libya,5.566,0.985,1.35,0.5529999999999999,0.496,0.11599999999999999,0.14800000000000002,2.066,LBY,developing
70,71,Philippines,5.524,0.775,1.3119999999999998,0.513,0.643,0.12,0.105,2.161,PHL,developing
71,72,Honduras,5.504,0.62,1.205,0.622,0.45899999999999996,0.19699999999999998,0.07400000000000001,2.401,HND,developing
72,73,Belarus,5.483,1.0390000000000001,1.4980000000000002,0.7,0.307,0.10099999999999999,0.154,1.838,BLR,developed
73,74,Turkey,5.483,1.148,1.38,0.6859999999999999,0.324,0.106,0.109,1.839,TUR,developing
74,75,Pakistan,5.472,0.652,0.81,0.424,0.33399999999999996,0.21600000000000003,0.113,3.036,PAK,developing
75,76,Hong Kong,5.43,1.405,1.29,1.03,0.524,0.24600000000000002,0.29100000000000004,0.935,HKG,developed
76,77,Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,1.2919999999999998,PRT,developed
77,78,Serbia,5.398,0.975,1.369,0.685,0.28800000000000003,0.134,0.043,1.9469999999999998,SRB,developing
78,79,Greece,5.358,1.1540000000000001,1.202,0.879,0.131,0.0,0.044000000000000004,1.992,GRC,developed
79,80,Tajikistan,5.358,0.474,1.179,0.598,0.503,0.214,0.136,2.39,TJK,developing
80,81,Montenegro,5.347,1.0170000000000001,1.2790000000000001,0.7290000000000001,0.259,0.111,0.081,1.952,MNE,developing
81,82,Croatia,5.321000000000001,1.115,1.161,0.737,0.38,0.12,0.039,1.808,HRV,developed
82,83,Dominican Republic,5.3020000000000005,0.982,1.4409999999999998,0.614,0.578,0.12,0.106,1.567,DOM,developing
83,84,Algeria,5.295,0.9790000000000001,1.1540000000000001,0.687,0.077,0.055,0.135,2.343,DZA,developing
84,85,Morocco,5.254,0.779,0.797,0.669,0.46,0.026000000000000002,0.07400000000000001,2.523,MAR,developing
85,86,China,5.246,0.9890000000000001,1.1420000000000001,0.799,0.597,0.028999999999999998,0.10300000000000001,1.69,CHN,developing
86,87,Azerbaijan,5.2010000000000005,1.024,1.161,0.603,0.43,0.031,0.17600000000000002,1.952,AZE,developing
87,88,Lebanon,5.199,0.965,1.166,0.785,0.292,0.187,0.034,1.804,LBN,developing
88,89,Macedonia,5.185,0.9590000000000001,1.239,0.691,0.39399999999999996,0.17300000000000001,0.052000000000000005,1.729,MKD,developed
89,90,Jordan,5.1610000000000005,0.8220000000000001,1.265,0.645,0.46799999999999997,0.13,0.134,1.831,JOR,developing
90,91,Nigeria,5.155,0.6890000000000001,1.172,0.048,0.462,0.201,0.032,2.583,NGA,developing
91,92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.281,0.035,1.77,KGZ,developing
